,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
2,Adamantina,Estadual,5.0,4.9,5.2,5.2,5.4,"5,8",6,"6,2","6,4",6º ao 9º ano,3500105.0,True,False,False
3,Adamantina,Municipal,6.6,6.9,6.8,6.3,6.5,"6,2","6,4","6,6","6,8",1º ao 5º ano,3500105.0,False,True,False
4,Adamantina,Pública,6.6,6.9,6.8,6.3,6.5,"6,2","6,4","6,6","6,8",1º ao 5º ano,3500105.0,False,True,False
5,Adamantina,Pública,5.0,4.9,5.2,5.2,5.4,"5,8",6,"6,2","6,4",6º ao 9º ano,3500105.0,True,False,False
8,Adolfo,Municipal,4.4,5.2,4.9,5.4,5.8,"4,9","5,2","5,4","5,7",6º ao 9º ano,3500204.0,True,False,False
9,Adolfo,Municipal,6.2,6.5,6.4,6.3,6.9,6,"6,3","6,5","6,7",1º ao 5º ano,3500204.0,False,True,False
10,Adolfo,Pública,6.2,6.5,6.4,6.3,6.9,6,"6,3","6,5","6,7",1º ao 5º ano,3500204.0,False,True,False
11,Adolfo,Pública,4.4,5.2,4.9,5.4,5.8,"4,9","5,2","5,4","5,7",6º ao 9º ano,3500204.0,True,False,False
14,Aguaí,Estadual,6.7,7.0,6.3,5.7,6.0,"6,5","6,7",7,"7,2",1º ao 5º ano,3500303.0,False,True,False
15,Aguaí,Estadual,4.7,4.5,5.0,4.8,4.8,"5,4","5,6","5,9","6,1",6º ao 9º ano,3500303.0,True,False,False
16,Aguaí,Municipal,4.2,4.9,5.9,5.6,5.7,"4,5","4,8","5,1","5,3",6º ao 9º ano,3500303.0,True,False,False
17,Aguaí,Municipal,5.2,6.1,6.2,5.8,5.9,"5,4","5,7","5,9","6,2",1º ao 5º ano,3500303.0,False,True,False
18,Aguaí,Pública,5.4,6.3,6.2,5.8,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3500303.0,False,True,False
19,Aguaí,Pública,4.6,4.6,5.2,5.1,5.1,"5,3","5,5","5,8",6,6º ao 9º ano,3500303.0,True,False,False
22,Águas da Prata,Estadual,5.6,5.6,5.9,5.2,5.6,"6,4","6,6","6,8","6,9",6º ao 9º ano,3500402.0,True,False,False
23,Águas da Prata,Municipal,5.8,6.5,6.6,6.5,6.3,"5,9","6,1","6,4","6,6",1º ao 5º ano,3500402.0,False,True,False
24,Águas da Prata,Pública,5.8,6.5,6.6,6.5,6.3,"5,9","6,1","6,4","6,6",1º ao 5º ano,3500402.0,False,True,False
25,Águas da Prata,Pública,5.6,5.6,5.9,5.2,5.6,"6,4","6,6","6,7","6,9",6º ao 9º ano,3500402.0,True,False,False
28,Águas de Lindóia,Estadual,6.7,7.8,6.8,6.1,7.5,"6,4","6,6","6,8","7,1",1º ao 5º ano,3500501.0,False,True,False
29,Águas de Lindóia,Estadual,5.4,5.3,5.6,6.0,6.0,"5,5","5,8",6,"6,2",6º ao 9º ano,3500501.0,True,False,False
30,Águas de Lindóia,Municipal,4.7,5.1,5.1,5.5,5.5,"5,2","5,5","5,7",6,6º ao 9º ano,3500501.0,True,False,False
31,Águas de Lindóia,Municipal,6.1,6.8,6.5,6.6,6.7,"5,8",6,"6,3","6,5",1º ao 5º ano,3500501.0,False,True,False
32,Águas de Lindóia,Pública,6.2,7.0,6.5,6.5,6.8,"6,2","6,4","6,7","6,9",1º ao 5º ano,3500501.0,False,True,False
33,Águas de Lindóia,Pública,4.9,5.1,5.2,5.6,5.7,"5,5","5,7","5,9","6,2",6º ao 9º ano,3500501.0,True,False,False
36,Águas de Santa Bárbara,Estadual,5.4,5.9,5.8,5.7,5.9,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500550.0,True,False,False
37,Águas de Santa Bárbara,Municipal,6.7,6.9,6.9,6.2,6.3,"6,4","6,6","6,9","7,1",1º ao 5º ano,3500550.0,False,True,False
38,Águas de Santa Bárbara,Pública,6.7,6.9,6.9,6.2,6.3,"6,4","6,6","6,9","7,1",1º ao 5º ano,3500550.0,False,True,False
39,Águas de Santa Bárbara,Pública,5.4,5.9,5.8,5.7,5.9,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500550.0,True,False,False
42,Águas de São Pedro,Municipal,5.6,6.6,6.3,6.3,6.5,"5,5","5,7",6,"6,2",6º ao 9º ano,3500600.0,True,False,False
43,Águas de São Pedro,Municipal,7.0,7.4,7.4,6.9,7.1,"6,1","6,3","6,6","6,8",1º ao 5º ano,3500600.0,False,True,False
44,Águas de São Pedro,Pública,7.0,7.4,7.4,6.9,7.1,"6,1","6,3","6,6","6,8",1º ao 5º ano,3500600.0,False,True,False
45,Águas de São Pedro,Pública,5.6,6.6,6.3,6.3,6.5,"5,5","5,7",6,"6,2",6º ao 9º ano,3500600.0,True,False,False
49,Agudos,Estadual,4.7,4.5,5.1,5.1,4.9,"5,5","5,7","5,9","6,2",6º ao 9º ano,3500709.0,True,False,False
50,Agudos,Municipal,6.2,6.5,6.5,6.1,6.3,"5,8","6,1","6,3","6,6",1º ao 5º ano,3500709.0,False,True,False
51,Agudos,Pública,6.2,6.5,6.5,6.1,6.3,"5,6","5,9","6,1","6,4",1º ao 5º ano,3500709.0,False,True,False
52,Agudos,Pública,4.7,4.5,5.1,5.1,4.9,"5,5","5,7","5,9","6,2",6º ao 9º ano,3500709.0,True,False,False
56,Alambari,Municipal,6.2,6.8,6.5,5.6,6.2,"5,6","5,9","6,1","6,4",1º ao 5º ano,3500758.0,False,True,False
57,Alambari,Pública,6.2,6.8,6.5,5.6,6.2,"5,6","5,9","6,1","6,4",1º ao 5º ano,3500758.0,False,True,False
61,Alfredo Marcondes,Estadual,7.0,6.1,6.9,6.6,5.8,"5,4","5,7",6,"6,2",1º ao 5º ano,3500808.0,False,True,False
62,Alfredo Marcondes,Estadual,4.8,4.7,5.0,5.2,5.0,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500808.0,True,False,False
63,Alfredo Marcondes,Pública,7.0,6.1,6.9,6.6,5.8,"5,4","5,7",6,"6,2",1º ao 5º ano,3500808.0,False,True,False
64,Alfredo Marcondes,Pública,4.8,4.7,5.0,5.2,5.0,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500808.0,True,False,False
67,Altair,Estadual,4.9,4.1,4.8,5.0,5.4,"4,8",5,"5,3","5,6",6º ao 9º ano,3500907.0,True,False,False
68,Altair,Municipal,5.3,6.5,6.3,5.9,6.5,"5,3","5,6","5,9","6,1",1º ao 5º ano,3500907.0,False,True,False
69,Altair,Pública,5.3,6.5,6.3,5.9,6.5,"5,3","5,6","5,9","6,1",1º ao 5º ano,3500907.0,False,True,False
70,Altair,Pública,4.9,4.1,4.8,5.0,5.4,"4,8",5,"5,3","5,6",6º ao 9º ano,3500907.0,True,False,False
73,Altinópolis,Estadual,5.9,5.5,5.6,5.2,5.3,"6,1","6,3","6,5","6,7",6º ao 9º ano,3501004.0,True,False,False
74,Altinópolis,Municipal,4.1,3.9,4.9,5.3,5.4,"4,6","4,9","5,1","5,4",6º ao 9º ano,3501004.0,True,False,False
75,Altinópolis,Municipal,6.3,6.2,6.6,6.1,7.0,"6,2","6,5","6,7","6,9",1º ao 5º ano,3501004.0,False,True,False
76,Altinópolis,Pública,6.3,6.2,6.6,6.1,7.0,"6,2","6,5","6,7","6,9",1º ao 5º ano,3501004.0,False,True,False
77,Altinópolis,Pública,4.8,4.7,5.3,5.2,5.4,"5,9","6,1","6,3","6,5",6º ao 9º ano,3501004.0,True,False,False
81,Alto Alegre,Estadual,4.8,5.2,4.6,5.1,5.7,"5,4","5,7","5,9","6,2",6º ao 9º ano,3501103.0,True,False,False
82,Alto Alegre,Municipal,6.0,7.6,8.1,7.9,7.8,"6,3","6,6","6,8",7,1º ao 5º ano,3501103.0,False,True,False
83,Alto Alegre,Pública,6.0,7.6,8.1,7.9,7.8,"5,9","6,2","6,4","6,7",1º ao 5º ano,3501103.0,False,True,False
84,Alto Alegre,Pública,4.8,5.2,4.6,5.1,5.7,"5,4","5,7","5,9","6,2",6º ao 9º ano,3501103.0,True,False,False
87,Alumínio,Municipal,3.9,5.1,5.2,5.3,4.8,"5,1","5,3","5,6","5,8",6º ao 9º ano,3501152.0,True,False,False
88,Alumínio,Municipal,5.4,6.6,6.7,6.3,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3501152.0,False,True,False
89,Alumínio,Pública,5.4,6.6,6.7,6.3,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3501152.0,False,True,False
