;NOME;INSTITUICAO_ENSINO_ALUNO;IDADE_ALUNO;ANOS_PM;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO;FASE;TURMA
0;ALUNO-1;Escola Pública;11;2;Não;7.883752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;8.7;7.5;7.0;5.9375;7.75;10.0;2020;2;H
2;ALUNO-3;Escola Pública;12;2;Não;7.856389666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;8.9;7.5;5.5;8.125;8.111113333333334;10.0;2020;3;H
3;ALUNO-4;Escola Pública;10;2;Não;5.076252;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;4.1;6.875;0.0;7.1875;7.75;5.0;2020;1;D
4;ALUNO-5;Escola Pública;10;1;Não;8.077085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.50002;8.0;7.5;7.5;8.4375;8.166665;10.0;2020;2;M
7;ALUNO-8;Rede Decisão/União;14;3;Sim;8.381390666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.9;4.375;7.333333333333333;8.749999999999998;8.94445;10.0;2020;4;L
9;ALUNO-10;Escola Pública;13;1;Não;5.1618745;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;5.83333;5.2;3.75;0.0;7.96875;6.8333325;10.0;2020;3;B
10;ALUNO-11;Escola Pública;8;0;Sim;9.712504;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;10.0;8.125;10.0;10.0;10.00001;10.0;2020;0;A
11;ALUNO-12;Rede Decisão/União;14;3;Não;5.838887333333334;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6.25;6.0;5.625;6.666666666666667;5.624999999999999;5.277770000000001;5.0;2020;3;G
13;ALUNO-14;Escola Pública;11;2;Não;6.434585;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.000020000000001;7.6;6.875;0.0;8.4375;7.916665;10.0;2020;2;M
14;ALUNO-15;Escola Pública;12;1;Não;5.162502;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;4.0;7.5;0.0;8.125;7.25;5.0;2020;2;D
16;ALUNO-17;Escola Pública;13;2;Não;7.766252;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;6.8;7.5;10.0;6.5625;7.75;5.0;2020;1;G
17;ALUNO-18;Escola Pública;14;3;Não;7.2055576666666665;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.58335;7.0;7.5;6.5;7.083333333333334;7.944446666666665;5.0;2020;3;E
27;ALUNO-28;Rede Decisão/União;13;2;Sim;9.354725666666669;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.58335;9.6;6.875;9.0;10.0;9.944453333333334;10.0;2020;3;J
29;ALUNO-30;Escola Pública;7;0;Não;7.125001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.916679999999999;10.0;7.5;4.75;2.5;6.916665;10.0;2020;0;C
32;ALUNO-33;Escola Pública;13;0;Não;7.013888333333334;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;4.5;7.5;8.666666666666666;7.083333333333334;6.277773333333332;10.0;2020;3;E
33;ALUNO-34;Escola Pública;12;2;Não;7.698890666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;9.3;6.875;7.0;8.125;7.944443333333334;5.0;2020;2;C
34;ALUNO-35;Escola Pública;18;3;Não;6.64396;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;6.1;6.25;5.0;7.65625;8.29167;5.0;2020;7;B
35;ALUNO-36;Escola Pública;14;1;Não;8.307780333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.58335;9.9;7.5;8.0;8.749999999999998;8.222226666666668;5.0;2020;3;C
36;ALUNO-37;Escola Pública;10;2;Não;6.6788913333333335;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;7.7;4.375;2.5;6.458333333333333;7.77778;10.0;2020;2;N
38;ALUNO-39;Escola Pública;13;3;Não;8.131388333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.24999;9.4;7.5;8.333333333333334;8.541666666666666;6.777780000000001;10.0;2020;3;F
40;ALUNO-41;Escola Pública;11;0;Não;7.460002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;8.3;7.5;7.25;7.5;7.75;5.0;2020;1;D
